settore_merceologico;insegna;tipo_via;via;civico;zd;superficie_vendita;superficie_altri_usi;superficie_tabelle_speciali;superficie_totale;codice_via;accesso;isolato;ingresso;settore_prevalente
ALIMENTARE;NON SPECIFICATA;CSO;ITALIA;34;1;0;0;0;0;526;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PANIFICIO
NON SPECIFICATO;NON SPECIFICATA;CSO;LODI;104;4;16;5;0;21;4068;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
ALIMENTARE;NON SPECIFICATA;CSO;LODI;26;5;0;0;0;0;4068;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PANIFICIO
NON SPECIFICATO;NON SPECIFICATA;CSO;SEMPIONE;41;6;120;0;0;120;7137;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
NON SPECIFICATO;NON SPECIFICATA;LGO;SCALABRINI GIOVANNI BATTISTA;2;6;0;0;0;0;5392;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
ALIMENTARE;NON SPECIFICATA;PLE;STAZIONE DI PORTA GENOVA;2;6;36;0;0;36;5120;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PANIFICIO
NON SPECIFICATO;NON SPECIFICATA;PZA;ASPROMONTE;1;3;3;0;0;3;2246;ACCESSO ESTERNO;041;NON SPECIFICATO;PRODOTTI PER IGIENE PERSONA CASA
NON SPECIFICATO;NON SPECIFICATA;PZA;BONOMELLI GEREMIA;10;5;14;143;0;157;4150;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;ESERCIZIO DI VICINATO
NON SPECIFICATO;NON SPECIFICATA;PZA;OBERDAN GUGLIELMO;2;1;190;100;0;290;2108;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;COMMERCIO AL DETTAGLIO
NON SPECIFICATO;NON SPECIFICATA;PZA;SANTA MARIA DELLE GRAZIE;1;1;0;0;0;0;6164;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
